ID,SEX,EDUCATION,MARRIAGE,AGE
5083,2,3,1,57
5084,2,2,1,52
5085,1,3,1,45
5086,1,2,1,43
5087,2,2,2,23
5088,2,1,2,31
5089,2,2,2,28
5090,2,2,1,53
5091,2,2,1,29
5092,2,1,2,26
5093,1,2,2,32
5094,2,2,1,43
5095,1,1,2,26
5096,1,1,2,27
5097,2,3,1,45
5098,2,2,1,31
5099,1,1,2,26
5100,1,1,2,29
5101,2,1,1,48
5102,2,2,1,35
5103,1,1,2,25
5104,2,1,1,33
5105,2,3,2,40
5106,1,2,3,45
5107,2,5,3,35
5108,2,2,2,29
5109,1,2,2,25
5110,2,2,2,39
5111,1,2,2,31
5112,2,1,1,30
5113,1,2,1,33
5114,2,3,2,36
5115,2,1,2,24
5116,1,2,2,31
5117,1,2,2,29
5118,1,1,2,38
5119,2,1,2,29
5120,2,2,1,47
5121,1,2,2,37
5122,1,1,1,37
5123,2,2,2,23
5124,2,1,1,47
5125,2,1,1,40
5126,2,2,2,34
5127,2,5,2,23
5128,1,3,1,51
5129,2,2,1,38
5130,2,2,2,25
5131,1,3,1,39
5132,2,2,2,34
5133,2,1,2,42
5134,1,2,1,37
5135,1,3,2,53
5136,2,1,2,32
5137,1,2,1,28
5138,1,3,1,43
5139,2,1,2,27
5140,2,1,2,42
5141,1,1,1,43
5142,2,1,2,30
5143,2,3,1,48
5144,2,1,2,29
5145,1,1,2,23
5146,2,3,2,36
5147,2,2,2,30
5148,2,2,2,25
5149,1,3,2,33
5150,1,3,2,29
5151,1,2,1,36
5152,1,1,2,43
5153,1,1,2,31
5154,1,2,2,24
5155,2,1,1,47
5156,1,2,2,27
5157,1,1,2,30
5158,1,1,2,29
5159,1,3,2,32
5160,2,1,2,28
5161,1,2,2,32
5162,1,1,2,22
5163,1,1,2,35
5164,2,2,1,26
5165,2,2,2,26
5166,1,3,1,58
5167,1,1,1,37
5168,1,3,1,40
5169,2,5,1,32
5170,2,2,2,26
5171,1,2,1,34
5172,1,3,1,46
5173,2,2,1,40
5174,2,1,2,27
5175,2,3,3,29
5176,2,2,2,48
5177,2,1,2,30
5178,1,1,1,50
5179,1,1,1,39
5180,1,2,2,27
5181,2,1,2,47
5182,2,2,1,47
5183,2,1,1,36
5184,1,2,1,40
5185,2,2,1,45
5186,2,5,2,34
5187,1,1,2,39
5188,1,1,1,40
5189,1,1,2,28
5190,1,2,2,24
5191,2,2,2,30
5192,1,2,1,41
5193,2,1,1,41
5194,2,1,1,36
5195,2,2,2,31
5196,2,2,2,28
5197,2,1,2,25
5198,2,2,1,42
5199,1,2,1,51
5200,2,3,2,24
5201,2,1,2,34
5202,1,1,2,36
5203,1,3,1,58
5204,1,2,1,43
5205,2,1,1,35
5206,2,3,1,45
5207,2,1,1,53
5208,1,2,2,40
5209,2,1,2,35
5210,2,2,1,43
5211,1,1,2,25
5212,1,2,2,23
5213,1,1,2,28
5214,2,2,1,30
5215,1,3,1,50
5216,2,1,2,32
5217,1,3,2,27
5218,2,2,1,34
5219,2,2,1,33
5220,2,2,1,47
5221,1,1,2,35
5222,2,2,1,24
5223,1,3,2,49
5224,2,2,2,48
5225,1,2,2,22
5226,2,1,2,24
5227,2,2,2,50
5228,2,1,1,45
5229,2,3,2,53
5230,2,1,2,27
5231,1,2,2,24
5232,1,1,2,25
5233,1,2,1,35
5234,1,1,2,35
5235,2,1,2,27
5236,2,2,2,21
5237,2,1,1,39
5238,1,1,1,46
5239,1,1,1,32
5240,2,2,2,28
5241,2,2,2,31
5242,2,1,2,31
5243,2,2,2,50
5244,2,1,2,28
5245,2,1,2,31
5246,2,2,1,34
5247,2,1,2,27
5248,1,2,2,28
5249,2,2,1,28
5250,2,1,2,32
5251,2,2,2,40
5252,2,1,1,44
5253,2,1,2,29
5254,1,1,1,63
5255,1,2,2,29
5256,2,2,1,40
5257,2,3,3,55
5258,2,3,2,25
5259,2,1,2,32
5260,1,1,2,29
5261,2,2,2,24
5262,2,2,1,36
5263,2,2,1,37
5264,2,2,1,33
5265,1,2,2,45
5266,2,2,2,54
5267,1,1,1,41
5268,2,2,1,40
5269,1,2,2,25
5270,2,3,1,39
5271,2,5,2,37
5272,2,1,2,28
5273,1,3,1,32
5274,2,2,1,42
5275,1,1,2,24
5276,1,2,1,53
5277,1,3,2,34
5278,2,5,1,35
5279,1,2,2,27
5280,2,3,1,55
5281,1,2,3,37
5282,1,2,2,51
5283,2,2,1,33
5284,2,2,1,38
5285,1,2,1,36
5286,2,1,1,36
5287,2,1,2,33
5288,2,2,3,57
5289,2,2,1,35
5290,2,2,1,44
5291,2,2,1,42
5292,2,2,2,24
5293,1,2,1,47
5294,1,1,2,33
5295,1,2,2,27
5296,1,1,2,34
5297,2,1,1,33
5298,1,2,2,24
5299,2,2,1,29
5300,2,1,2,36
5301,2,1,1,48
5302,1,2,2,30
5303,2,2,2,29
5304,2,1,2,29
5305,2,1,1,38
5306,1,2,2,31
5307,1,2,1,31
5308,2,2,2,24
5309,1,1,2,35
5310,1,2,2,38
5311,2,3,2,31
5312,1,2,1,46
5313,2,2,2,24
5314,2,1,1,50
5315,1,1,2,27
5316,2,2,2,28
5317,2,1,2,26
5318,2,2,2,23
5319,2,2,1,33
5320,2,3,1,60
5321,1,2,2,30
5322,2,1,2,26
5323,2,2,1,34
5324,2,2,2,28
5325,2,2,1,38
5326,1,1,1,45
5327,2,1,2,32
5328,2,3,1,28
5329,2,1,2,30
5330,1,2,2,41
5331,1,3,1,42
5332,2,2,3,52
5333,2,2,1,22
5334,2,1,1,31
5335,2,3,2,25
5336,2,1,1,38
5337,1,2,2,31
5338,2,2,1,31
5339,1,3,2,25
5340,2,2,1,41
5341,1,3,2,48
5342,2,3,1,48
5343,2,3,1,27
5344,1,3,2,31
5345,2,1,1,41
5346,2,2,0,28
5347,2,3,2,23
5348,2,1,1,34
5349,1,1,2,28
5350,2,1,2,23
5351,1,3,2,24
5352,1,1,1,36
5353,2,2,1,48
5354,1,2,1,39
5355,1,2,2,27
5356,2,2,1,37
5357,1,1,1,34
5358,2,1,2,27
5359,2,2,2,30
5360,2,2,2,33
5361,1,1,2,26
5362,1,2,1,34
5363,2,3,2,23
5364,2,2,1,52
5365,2,3,2,30
5366,1,3,3,55
5367,1,2,2,29
5368,2,1,1,40
5369,2,2,1,44
5370,2,2,1,44
5371,1,2,1,44
5372,1,3,1,40
5373,1,2,2,29
5374,1,1,2,33
5375,2,1,2,30
5376,2,1,2,28
5377,2,2,2,28
5378,2,1,1,41
5379,1,2,2,26
5380,1,2,2,44
5381,1,2,2,23
5382,1,1,2,24
5383,2,2,1,38
5384,1,1,2,25
5385,2,1,2,29
5386,2,2,1,48
5387,2,3,1,44
5388,1,2,2,23
5389,1,3,2,24
5390,2,1,2,35
5391,1,1,2,37
5392,2,3,1,38
5393,1,2,2,28
5394,2,1,2,24
5395,1,1,2,29
5396,2,2,1,52
5397,1,3,1,39
5398,1,2,1,55
5399,2,1,2,27
5400,2,1,2,25
5401,2,2,2,49
5402,1,1,1,58
5403,1,1,2,34
5404,1,3,1,31
5405,2,3,1,36
5406,2,3,2,27
5407,2,1,2,25
5408,1,1,1,48
5409,2,5,2,33
5410,1,3,1,45
5411,2,2,1,43
5412,1,1,1,40
5413,1,2,3,49
5414,2,1,2,23
5415,2,1,1,44
5416,1,2,2,67
5417,1,2,1,38
5418,2,2,1,31
5419,1,1,1,50
5420,1,2,2,47
5421,1,1,2,36
5422,2,3,1,41
5423,1,2,2,25
5424,2,1,2,27
5425,1,1,1,54
5426,2,1,1,58
5427,2,2,1,49
5428,2,3,1,50
5429,1,2,1,42
5430,1,3,2,40
5431,2,2,1,40
5432,2,2,2,26
5433,1,2,2,28
5434,2,1,2,26
5435,1,3,1,45
5436,2,2,2,41
5437,1,1,1,41
5438,2,1,2,33
5439,1,3,2,34
5440,2,2,1,42
5441,2,2,2,39
5442,2,2,1,42
5443,1,4,2,30
5444,1,1,1,53
5445,1,2,1,47
5446,1,2,1,40
5447,2,3,1,36
5448,2,1,1,29
5449,1,1,2,49
5450,1,1,1,57
5451,1,2,2,49
5452,2,2,1,31
5453,2,2,1,36
5454,1,2,3,53
5455,2,3,2,31
5456,2,2,2,28
5457,1,1,2,29
5458,2,3,1,28
5459,1,2,2,38
5460,1,3,1,53
5461,1,1,2,39
5462,2,2,1,48
5463,1,1,2,32
5464,2,2,2,25
5465,2,3,2,25
5466,2,2,2,34
5467,1,2,1,37
5468,2,3,1,43
5469,2,1,2,33
5470,2,3,1,30
5471,1,2,2,27
5472,1,1,2,25
5473,2,3,3,55
5474,1,1,2,37
5475,2,1,2,36
5476,2,3,1,40
5477,2,2,1,48
5478,2,2,1,33
5479,2,2,1,37
5480,2,1,2,35
5481,2,2,2,31
5482,2,2,1,39
5483,2,2,1,27
5484,2,2,2,21
5485,2,3,2,29
5486,1,3,2,28
5487,2,3,1,47
5488,1,1,2,33
5489,1,3,2,23
5490,1,2,2,32
5491,1,1,2,41
5492,1,2,2,23
5493,2,1,2,28
5494,1,2,1,24
5495,1,1,1,34
5496,2,1,2,36
5497,2,3,1,48
5498,1,3,1,49
5499,1,1,2,66
5500,2,1,1,39
5501,2,2,1,44
5502,2,2,1,55
5503,1,2,2,34
5504,2,1,2,31
5505,2,1,1,42
5506,1,2,2,37
5507,1,1,2,25
5508,2,2,2,36
5509,1,3,1,39
5510,1,3,1,49
5511,1,1,2,30
5512,1,1,2,36
5513,2,3,1,69
5514,2,1,2,27
5515,2,1,2,40
5516,2,2,2,56
5517,2,1,2,29
5518,1,1,2,31
5519,2,2,1,29
5520,2,2,1,47
5521,1,3,1,39
5522,2,1,2,25
5523,2,2,2,22
5524,1,1,2,33
5525,1,1,2,27
5526,1,2,1,40
5527,1,1,1,33
5528,1,3,1,52
5529,2,1,2,30
5530,1,3,2,39
5531,2,2,1,27
5532,2,2,2,25
5533,1,1,2,33
5534,1,1,2,35
5535,1,2,2,29
5536,2,1,1,41
5537,2,2,2,24
5538,1,2,1,29
5539,2,3,2,48
5540,1,1,1,34
5541,2,1,2,23
5542,1,3,1,29
5543,1,2,2,30
5544,1,3,2,24
5545,1,1,2,27
5546,2,3,1,60
5547,2,2,1,24
5548,2,2,1,35
5549,2,2,2,26
5550,1,2,2,22
5551,1,3,1,53
5552,1,2,1,40
5553,1,2,2,27
5554,2,2,1,44
5555,2,1,2,32
5556,2,5,1,25
5557,2,2,2,33
5558,2,2,2,25
5559,2,2,1,38
5560,1,2,2,34
5561,2,2,2,28
5562,1,2,1,33
5563,1,1,2,29
5564,2,1,2,25
5565,2,3,1,60
5566,2,1,1,43
5567,2,2,2,36
5568,2,3,2,48
5569,1,2,1,24
5570,2,2,1,35
5571,1,1,2,33
5572,2,2,1,30
5573,2,2,1,62
5574,2,1,2,33
5575,2,2,2,25
5576,2,3,2,38
5577,1,2,2,26
5578,1,2,2,24
5579,2,3,1,35
5580,2,3,1,58
5581,1,1,1,42
5582,1,1,1,41
5583,1,2,1,34
5584,1,1,2,22
5585,2,2,1,37
5586,1,3,1,43
5587,2,2,2,28
5588,2,3,1,58
5589,2,3,2,24
5590,2,2,1,39
5591,2,1,1,38
5592,2,3,2,49
5593,1,2,1,49
5594,2,1,2,26
5595,2,2,2,23
5596,2,2,1,27
5597,2,1,2,48
5598,2,2,1,52
5599,2,1,2,50
5600,1,3,1,37
5601,2,2,1,23
5602,2,2,2,33
5603,2,1,2,29
5604,2,2,2,38
5605,1,2,2,29
5606,2,1,1,39
5607,2,3,1,43
5608,2,2,2,32
5609,2,1,2,29
5610,1,2,2,33
5611,2,2,2,27
5612,1,2,2,37
5613,2,1,1,38
5614,2,3,1,48
5615,1,2,2,23
5616,2,2,2,33
5617,2,2,1,35
5618,2,2,2,23
5619,2,2,1,35
5620,2,2,2,23
5621,2,2,1,33
5622,1,2,1,44
5623,1,3,2,45
5624,2,3,1,39
5625,2,2,1,33
5626,2,1,2,39
5627,1,2,1,51
5628,2,2,2,36
5629,2,2,1,24
5630,2,1,1,40
5631,2,2,2,25
5632,1,3,2,27
5633,1,5,2,34
5634,1,2,1,45
5635,2,3,2,42
5636,2,1,1,37
5637,2,2,2,42
5638,1,2,2,29
5639,2,1,2,25
5640,1,2,2,42
5641,1,2,2,34
5642,2,2,2,42
5643,2,2,2,41
5644,2,2,1,49
5645,1,1,1,42
5646,2,2,1,53
5647,2,2,2,26
5648,2,2,2,22
5649,1,3,1,33
5650,1,1,2,36
5651,2,2,2,38
5652,2,2,2,27
5653,2,1,1,32
5654,2,1,2,28
5655,2,1,1,43
5656,1,2,2,24
5657,1,2,1,39
5658,2,3,1,29
5659,2,2,1,38
5660,2,2,1,24
5661,1,2,2,24
5662,2,2,1,42
5663,2,2,1,33
5664,2,2,2,28
5665,2,1,2,26
5666,2,3,1,55
5667,1,1,2,33
5668,2,1,2,27
5669,2,2,1,29
5670,2,2,1,49
5671,2,2,1,40
5672,1,2,2,29
5673,2,1,2,23
5674,1,2,2,37
5675,2,2,1,41
5676,2,2,2,28
5677,1,2,2,43
5678,1,3,1,55
5679,2,2,1,40
5680,2,3,1,52
5681,2,2,2,36
5682,2,2,1,23
5683,2,2,1,26
5684,2,3,2,57
5685,2,2,2,35
5686,1,1,2,31
5687,1,1,1,31
5688,2,1,1,39
5689,2,1,2,32
5690,1,2,2,37
5691,1,1,2,38
5692,1,2,1,36
5693,2,1,2,25
5694,2,3,2,42
5695,1,1,1,39
5696,1,1,2,28
5697,2,1,2,28
5698,2,1,2,25
5699,2,1,2,26
5700,2,2,2,23
5701,2,1,1,30
5702,2,1,1,40
5703,1,1,2,32
5704,2,2,1,30
5705,2,1,2,29
5706,1,1,2,28
5707,2,1,3,48
5708,2,5,1,28
5709,2,1,2,35
5710,1,3,1,62
5711,2,1,2,27
5712,2,2,1,40
5713,2,1,2,24
5714,2,2,2,22
5715,2,1,2,27
5716,2,2,2,35
5717,2,1,1,41
5718,2,1,2,33
5719,1,2,1,41
5720,1,1,1,49
5721,2,3,2,34
5722,2,3,2,27
5723,1,2,1,48
5724,2,2,2,22
5725,2,1,2,25
5726,2,1,1,37
5727,2,2,3,37
5728,1,1,1,49
5729,1,3,2,33
5730,2,1,2,27
5731,2,2,3,37
5732,2,1,2,48
5733,1,1,1,44
5734,2,1,1,35
5735,1,2,1,40
5736,2,2,2,30
5737,2,2,1,35
5738,2,1,2,32
5739,1,3,2,23
5740,2,3,1,34
5741,1,1,2,34
5742,1,2,2,34
5743,2,3,2,59
5744,2,1,2,22
5745,2,1,1,36
5746,2,1,2,27
5747,1,3,1,38
5748,2,4,1,42
5749,2,1,2,26
5750,2,1,2,30
5751,2,2,2,37
5752,1,3,1,51
5753,1,3,1,56
5754,2,2,2,30
5755,2,1,2,24
5756,2,3,1,29
5757,1,1,2,35
5758,2,2,1,30
5759,2,2,2,33
5760,2,1,2,44
5761,2,2,1,38
5762,2,1,1,39
5763,1,2,1,27
5764,1,2,1,35
5765,2,3,2,22
5766,1,2,1,33
5767,2,3,2,26
5768,2,2,1,43
5769,1,1,3,32
5770,1,2,1,45
5771,1,2,1,38
5772,1,2,1,40
5773,2,1,2,22
5774,2,2,2,26
5775,2,3,2,49
5776,2,2,1,35
5777,1,2,1,38
5778,2,3,2,27
5779,2,3,2,45
5780,1,2,1,36
5781,2,3,2,31
5782,1,3,2,33
5783,2,1,1,31
5784,1,3,2,24
5785,2,1,2,24
5786,1,2,2,26
5787,2,1,1,40
5788,2,2,1,40
5789,2,2,1,44
5790,1,1,2,29
5791,2,2,2,26
5792,2,1,1,30
5793,2,2,2,26
5794,1,2,1,48
5795,2,3,1,33
5796,2,1,2,26
5797,2,1,2,33
5798,2,1,2,23
5799,2,1,2,31
5800,1,1,2,23
5801,1,1,1,50
5802,2,1,2,29
5803,1,1,2,26
5804,2,2,2,24
5805,2,2,1,28
5806,2,2,2,25
5807,2,2,3,26
5808,2,3,1,53
5809,1,1,2,36
5810,1,1,2,31
5811,2,2,1,33
5812,2,1,1,34
5813,1,1,2,36
5814,2,1,1,44
5815,1,3,2,25
5816,2,1,1,24
5817,1,1,1,67
5818,2,1,2,25
5819,2,2,2,30
5820,2,2,2,24
5821,2,2,1,45
5822,1,2,1,49
5823,2,1,2,28
5824,2,2,2,43
5825,2,3,1,70
5826,1,3,1,50
5827,2,2,2,22
5828,2,1,2,38
5829,1,2,2,42
5830,2,1,2,22
5831,2,2,1,28
5832,1,1,1,34
5833,1,1,1,45
5834,2,2,1,26
5835,1,3,1,47
5836,2,2,2,26
5837,2,2,3,36
5838,1,2,2,26
5839,2,3,2,22
5840,2,1,2,25
5841,2,2,2,26
5842,1,1,2,30
5843,1,2,2,23
5844,1,2,2,37
5845,2,1,2,27
5846,2,2,1,59
5847,2,1,1,43
5848,2,1,1,30
5849,1,1,2,30
5850,2,3,1,61
5851,1,1,2,28
5852,1,2,2,29
5853,2,2,2,28
5854,2,2,2,26
5855,1,3,1,53
5856,2,1,1,30
5857,2,1,2,31
5858,1,1,1,40
5859,1,1,2,46
5860,1,1,2,27
5861,2,2,2,40
5862,1,3,2,41
5863,2,2,2,26
5864,1,2,2,44
5865,2,3,1,41
5866,2,1,2,31
5867,1,2,2,30
5868,1,2,2,24
5869,1,2,2,31
5870,2,2,1,37
5871,2,1,1,30
5872,2,1,2,27
5873,2,3,2,30
5874,2,1,2,27
5875,1,3,1,35
5876,2,2,2,33
5877,2,2,1,26
5878,2,1,2,27
5879,1,2,2,33
5880,2,2,2,23
5881,1,1,2,35
5882,2,1,2,32
5883,2,3,1,53
5884,2,2,1,23
5885,2,1,2,25
5886,2,2,1,29
5887,1,2,2,23
5888,2,1,2,43
5889,1,2,1,37
5890,1,2,1,41
5891,2,1,2,36
5892,1,2,1,40
5893,1,3,2,26
5894,2,3,1,38
5895,2,1,2,34
5896,2,1,2,27
5897,2,3,2,36
5898,2,1,2,35
5899,2,1,2,30
5900,2,2,1,43
5901,1,2,1,53
5902,2,2,2,27
5903,1,1,2,30
5904,2,2,1,45
5905,1,1,2,32
5906,2,2,2,28
5907,2,2,1,46
5908,1,2,3,39
5909,2,1,1,40
5910,2,1,2,30
5911,2,2,2,24
5912,2,2,2,24
5913,1,2,2,32
5914,2,2,2,26
5915,2,2,1,53
5916,2,1,1,41
5917,2,2,1,44
5918,2,3,1,46
5919,2,3,2,33
5920,2,1,2,29
5921,2,1,2,30
5922,2,2,1,45
5923,1,1,2,29
5924,2,1,2,33
5925,2,2,2,31
5926,2,2,1,53
5927,2,3,1,41
5928,2,1,2,29
5929,2,2,2,25
5930,2,3,1,54
5931,1,3,2,24
5932,2,2,1,43
5933,2,1,2,29
5934,2,3,1,39
5935,2,1,2,31
5936,2,2,1,34
5937,1,3,2,34
5938,2,2,1,36
5939,2,2,1,46
5940,2,3,2,32
5941,2,1,2,25
5942,2,2,1,30
5943,2,2,1,42
5944,2,1,1,38
5945,2,1,2,31
5946,1,0,2,39
5947,2,2,2,24
5948,2,2,1,24
5949,2,1,2,26
5950,2,2,1,36
5951,2,2,1,41
5952,1,1,1,47
5953,2,1,1,41
5954,2,1,2,27
5955,1,2,2,26
5956,1,2,2,22
5957,1,1,1,38
5958,2,2,2,25
5959,1,1,1,55
5960,2,2,2,24
5961,2,2,1,52
5962,2,2,1,29
5963,2,1,1,54
5964,2,1,1,32
5965,1,1,2,26
5966,2,2,1,32
5967,1,2,2,26
5968,1,1,2,27
5969,2,1,1,45
5970,2,2,1,34
5971,2,1,2,25
5972,1,2,1,28
5973,1,1,2,26
5974,1,2,1,31
5975,1,1,2,29
5976,2,2,2,24
5977,2,2,1,26
5978,2,3,2,28
5979,2,2,1,45
5980,2,1,2,24
5981,2,5,2,23
5982,1,1,1,42
5983,1,2,2,36
5984,1,1,2,27
5985,1,1,2,33
5986,1,3,1,44
5987,2,2,1,33
5988,2,3,2,39
5989,1,1,1,28
5990,1,1,2,32
5991,1,1,1,45
5992,1,1,2,47
5993,2,2,2,25
5994,1,2,1,47
5995,2,1,1,44
5996,1,1,2,30
5997,2,3,1,54
5998,2,3,2,26
5999,1,3,2,33
6000,2,3,1,36
6001,1,2,1,33
6002,2,1,2,37
6003,2,2,2,30
6004,1,1,2,36
6005,2,3,1,33
6006,1,3,1,53
6007,2,1,2,30
6008,2,3,1,56
6009,1,2,1,50
6010,2,2,1,42
6011,2,1,2,35
6012,2,1,1,30
6013,2,3,1,47
6014,2,2,2,21
6015,2,2,1,25
6016,2,2,1,49
6017,2,2,1,28
6018,1,2,1,49
6019,1,3,3,57
6020,1,1,1,43
6021,2,1,2,25
6022,2,3,1,39
6023,2,1,2,39
6024,2,3,1,71
6025,2,2,2,29
6026,1,1,1,31
6027,1,1,2,33
6028,1,1,1,36
6029,2,1,2,36
6030,2,3,1,42
6031,2,1,1,46
6032,2,1,2,33
6033,2,2,1,41
6034,2,2,1,35
6035,2,2,1,36
6036,1,1,1,45
6037,2,3,1,39
6038,2,1,2,29
6039,2,2,2,23
6040,2,2,1,49
6041,2,2,2,23
6042,2,2,2,32
6043,2,1,2,32
6044,1,2,1,38
6045,1,1,1,55
6046,2,2,1,27
6047,2,1,2,30
6048,2,2,1,26
6049,1,2,2,29
6050,2,3,1,52
6051,2,5,1,60
6052,1,2,1,58
6053,1,2,1,55
6054,2,1,1,51
6055,2,1,1,36
6056,2,1,2,49
6057,2,5,1,33
6058,1,1,1,44
6059,2,1,2,48
6060,2,1,1,36
6061,2,1,2,36
6062,2,2,1,36
6063,2,2,1,27
6064,2,1,2,33
6065,2,2,2,45
6066,2,3,1,56
6067,2,1,1,41
6068,2,2,2,28
6069,1,1,1,30
6070,1,2,2,27
6071,2,2,1,41
6072,2,2,1,41
6073,2,2,1,30
6074,1,1,1,48
6075,2,1,2,42
6076,2,1,1,38
6077,1,2,2,68
6078,2,2,2,26
6079,2,1,2,25
6080,1,1,2,28
6081,1,1,1,36
6082,2,3,1,47
6083,2,2,1,41
6084,2,2,2,64
6085,1,1,2,23
6086,2,1,1,37
6087,2,2,2,21
6088,1,2,2,36
6089,2,2,2,24
6090,2,2,1,52
6091,2,2,2,26
6092,2,3,1,58
6093,2,1,2,34
6094,1,1,2,24
6095,2,1,2,26
6096,1,2,1,31
6097,2,3,1,40
6098,1,2,1,38
6099,2,3,1,35
6100,2,2,1,30
6101,1,1,1,31
6102,1,1,1,33
6103,1,2,1,38
6104,2,3,2,51
6105,1,2,1,47
6106,2,2,1,47
6107,1,3,1,62
6108,2,2,1,36
6109,1,1,1,35
6110,2,1,1,39
6111,1,1,2,31
6112,2,2,1,36
6113,1,1,2,28
6114,2,3,2,23
6115,2,3,2,51
6116,1,1,1,35
6117,2,2,1,37
6118,1,1,2,26
6119,1,1,2,29
6120,2,2,2,24
6121,2,2,1,27
6122,2,2,1,29
6123,2,1,1,39
6124,2,2,1,41
6125,1,1,2,32
6126,2,3,1,47
6127,1,1,1,29
6128,2,2,1,60
6129,2,1,1,36
6130,1,1,2,33
6131,1,1,1,47
6132,1,1,2,27
6133,1,2,1,57
6134,2,1,2,27
6135,2,1,2,30
6136,2,2,1,39
6137,1,2,2,30
6138,2,2,2,22
6139,2,3,1,36
6140,1,1,2,33
6141,2,2,1,53
6142,2,1,2,53
6143,1,1,1,56
6144,1,1,2,35
6145,2,2,2,23
6146,2,3,1,46
6147,1,1,2,38
6148,1,2,2,39
6149,2,1,2,37
6150,2,1,2,31
6151,2,3,2,39
6152,1,3,2,48
6153,1,3,1,47
6154,1,1,1,41
6155,2,1,2,34
6156,2,1,2,24
6157,1,2,1,42
6158,1,3,1,44
6159,2,1,1,62
6160,2,2,2,40
6161,1,1,1,40
6162,1,1,2,28
6163,1,3,1,49
6164,1,2,2,31
6165,2,2,2,37
6166,2,2,3,42
6167,2,2,1,27
6168,1,1,1,33
6169,2,3,2,32
6170,1,1,2,29
6171,2,2,1,27
6172,2,2,1,48
6173,2,1,2,27
6174,2,1,1,48
6175,2,1,1,32
6176,1,2,2,25
6177,1,3,2,28
6178,1,2,2,35
6179,2,3,1,37
6180,1,3,2,29
6181,2,1,1,29
6182,2,2,1,35
6183,2,1,2,24
6184,2,2,2,27
6185,1,1,2,31
6186,1,1,2,48
6187,1,1,2,33
6188,2,2,1,28
6189,1,2,2,25
6190,1,1,2,31
6191,2,2,1,44
6192,1,1,2,30
6193,1,1,1,53
6194,2,1,1,45
6195,1,2,2,28
6196,1,2,2,41
6197,2,1,2,30
6198,2,2,2,27
6199,1,2,1,49
6200,2,3,2,55
6201,2,3,1,37
6202,1,1,1,38
6203,2,2,1,39
6204,2,1,2,29
6205,1,1,1,56
6206,1,3,1,28
6207,1,1,1,45
6208,1,1,2,29
6209,1,2,1,46
6210,2,1,2,30
6211,2,2,1,34
6212,1,2,1,52
6213,2,1,2,26
6214,2,2,2,25
6215,2,1,1,35
6216,1,2,1,41
6217,1,3,1,43
6218,2,1,2,38
6219,2,1,1,40
6220,1,2,2,27
6221,2,1,2,27
6222,2,2,2,23
6223,2,2,2,32
6224,2,3,2,28
6225,2,2,1,34
6226,2,1,2,29
6227,2,2,2,28
6228,1,3,1,47
6229,1,1,1,60
6230,2,1,2,29
6231,1,3,2,25
6232,2,1,2,28
6233,2,2,2,29
6234,1,3,1,30
6235,1,2,1,31
6236,2,2,2,30
6237,1,1,1,42
6238,1,2,1,30
6239,1,2,2,27
6240,1,2,1,44
6241,2,1,1,37
6242,1,1,2,29
6243,1,2,2,25
6244,2,1,2,36
6245,1,1,2,28
6246,2,1,2,28
6247,1,1,1,38
6248,2,1,2,30
6249,1,1,2,29
6250,1,2,1,36
6251,2,2,2,27
6252,2,2,1,43
6253,1,3,1,43
6254,2,2,1,37
6255,2,2,2,27
6256,2,2,2,39
6257,2,2,2,29
6258,1,2,1,45
6259,1,1,2,34
6260,1,2,2,32
6261,1,1,2,26
6262,2,1,2,28
6263,2,3,1,38
6264,1,2,2,29
6265,2,1,1,53
6266,2,2,1,38
6267,1,2,2,29
6268,2,2,1,47
6269,1,2,2,29
6270,2,1,2,27
6271,2,1,1,55
6272,2,1,2,23
6273,1,2,2,26
6274,1,1,1,30
6275,2,2,1,39
6276,1,2,1,50
6277,1,3,1,32
6278,2,1,2,32
6279,2,3,2,54
6280,2,2,1,36
6281,2,2,1,36
6282,1,1,2,26
6283,2,2,2,31
6284,1,3,1,29
6285,2,1,2,32
6286,1,3,2,30
6287,2,2,1,48
6288,2,1,1,33
6289,1,1,1,44
6290,2,2,1,28
6291,2,2,2,22
6292,1,2,1,51
6293,2,1,2,40
6294,1,1,1,55
6295,2,1,2,26
6296,2,2,2,32
6297,1,2,2,27
6298,2,2,2,27
6299,2,2,2,23
6300,2,2,2,24
6301,2,2,2,24
6302,2,2,2,49
6303,2,2,2,27
6304,2,1,2,25
6305,1,2,2,36
6306,2,1,2,43
6307,1,1,2,35
6308,1,1,1,49
6309,2,1,2,28
6310,2,2,1,44
6311,2,1,1,33
6312,1,1,1,52
6313,1,2,2,29
6314,1,1,2,29
6315,1,1,2,28
6316,1,1,2,24
6317,2,1,2,32
6318,1,2,1,35
6319,1,2,2,27
6320,1,1,1,44
6321,1,2,2,51
6322,2,2,1,38
6323,2,3,2,40
6324,2,2,2,30
6325,1,1,1,49
6326,1,3,1,51
6327,2,2,1,35
6328,2,2,2,22
6329,1,1,2,43
6330,2,1,2,31
6331,2,2,2,29
6332,1,2,2,24
6333,1,1,1,60
6334,2,2,1,44
6335,2,2,1,33
6336,2,2,2,34
6337,2,1,2,29
6338,1,3,2,26
6339,2,3,2,53
6340,2,2,3,35
6341,2,2,2,25
6342,1,1,1,35
6343,1,1,1,49
6344,1,3,1,53
6345,2,2,2,27
6346,2,2,2,36
6347,2,2,1,31
6348,2,2,2,31
6349,1,1,2,34
6350,1,1,1,39
6351,1,1,1,43
6352,2,1,2,30
